PADREMDU8_250501131915.IDX,file30.idx,2025-05-01 15:10:27,11264
PADREMDA0_250501143559.IDX,file31.idx,2025-05-01 15:08:09,142560
PADREMDA0_250501144035.DAT,file32.idx,2025-05-01 14:53:39,10486210
PADREMDA0_250501143817.IDX,file33.idx,2025-05-01 13:19:15,142544
PADREMDA0_250501144253.DAT,file34.dat,2025-05-01 14:35:59,10486226
PADREMDA0_250501144035.IDX,file35.idx,2025-05-01 14:40:35,142592
PADREMDA0_250501144511.DAT,file36.dat,2025-05-01 14:38:17,10486216
PADREMDA0_250501144253.IDX,file37.idx,2025-05-01 14:42:53,142592
PADREMDA0_250501144728.DAT,file38.dat,2025-05-01 14:40:35,10485976
PADREMDA0_250501144511.IDX,file39.idx,2025-05-01 14:45:11,142608
PADREMDA0_250501144946.DAT,file40.dat,2025-05-01 14:42:53,10486186
PADREMDA0_250501144728.IDX,file41.idx,2025-05-01 14:47:28,142544
PADREMDA0_250501145204.DAT,file42.dat,2025-05-01 14:45:11,10486608
PADREMDA0_250501144946.IDX,file43.idx,2025-05-01 14:49:46,142528
PADREMDA0_250501145422.DAT,file44.dat,2025-05-01 14:47:28,10486548
PADREMDA2_250501131915.IDX,file45.idx,2025-05-01 14:52:04,6832
PADREMDA0_250501151154.DAT,file46.dat,2025-05-01 14:49:46,15046
PADREMDA0_250501145640.DAT_Merge_PADREMDA0_250501145422.IDX,file47.idx,2025-05-01 14:54:22,10628962
PADREMDA0_250501145858.DAT,file48.dat,2025-05-01 13:19:15,10485812
PADREMDA0_250501145640.IDX,file49.dat,2025-05-01 15:11:54,142592
PADREMDA0_250501150116.DAT,file50.idx,2025-05-01 14:56:40,10486108
PADREMDA0_250501145858.IDX,file51.dat,2025-05-01 14:54:22,142576
PADREMDA0_250501150334.DAT,file52.idx,2025-05-01 14:58:58,10485846
PADREMDA0_250501150116.IDX,file53.dat,2025-05-01 14:56:40,142576
PADREMDA0_250501151027.IDX,file54.idx,2025-05-01 15:01:16,89168
PADREMDA0_250501150334.IDX,file55.dat,2025-05-01 14:58:58,142560
PADREMDA2_250501151154.DAT,file56.idx,2025-05-01 15:03:34,24648
PADREMDU8_250501151155.IDX,file57.idx,2025-05-01 15:01:16,768
PADREMDA0_250501181621.DAT,file58.idx,2025-05-01 15:10:27,10024266
PADREMDA2_250501193042.IDX_Merge_PADREMDA2_250501193042.DAT,file59.dat,2025-05-01 15:03:34,5154792
PADREMDA2_250501181621.DAT,file60.idx,2025-05-01 15:11:54,10500048
PADREMDA0_250501181621.IDX,file61.dat,2025-05-01 15:11:55,279616
PADREMDU8_250502025446.DAT_Merge_PADREMDA2_250502025446.DAT,file62.idx,2025-05-01 18:16:21,49976
PADREMDU8_250501181621.IDX,file63.dat,2025-05-01 19:30:42,10496
PADREMDU8_250501181621.DAT,file64.dat,2025-05-01 19:30:42,26180
PADREMDA0_250502030607.DAT,file65.idx,2025-05-01 18:16:21,343422
PADREMDA2_250502030607.IDX,file66.dat,2025-05-01 18:16:21,1440
PADREMDA2_250502030607.DAT,file67.dat,2025-05-02 2:54:46,2193672
PADREMDU8_250502030608.IDX,file68.idx,2025-05-02 2:54:46,2128
PADREMDU8_250502030608.DAT,file69.dat,2025-05-01 18:16:21,5260
PADREMDA0_250502030607.IDX,file70.dat,2025-05-01 18:16:21,28512
PADREMDA2_250502032813.DAT,file71.idx,2025-05-02 3:06:07,24648
PADREMDU8_250502034513.DAT,file72.dat,2025-05-02 3:06:07,800
PADREMDA0_250502034856.DAT,file73.idx,2025-05-02 3:06:07,3777882
PADREMDA2_250502061617.DAT,file74.dat,2025-05-02 3:06:08,98592
PADREMDA2_250502034856.DAT,file75.idx,2025-05-02 3:06:08,10500048
PADREMDA2_250502050815.DAT,file76.dat,2025-05-02 3:06:07,10500048
