Product type : SPD1305X
Product SRLN : SPD13DCQ7R0934
Product Software Version : 2.1.1.9R1
Number of channels : 1
Software Version : V1.0.2
File type: CSV
File version: 1.0
Interval : 0.5S
Date : 2025-03-25 11:10:47

Time,CH1 VOLT,CH1 CURR
240.536,30.000,0.370
241.046,30.000,0.378
241.586,30.000,0.378
242.102,30.000,0.382
242.621,30.000,0.373
243.153,30.000,0.378
243.670,30.000,0.372
244.191,30.000,0.379
244.707,30.000,0.385
245.246,30.000,0.372
245.777,30.000,0.371
246.312,30.000,0.364
246.842,30.000,0.390
247.358,30.000,0.386
247.875,30.000,0.381
248.393,30.000,0.392
248.917,30.000,0.386
249.430,30.000,0.409
249.950,30.000,0.389
250.465,30.000,0.377
251.000,30.000,0.394
251.519,30.000,0.394
252.038,30.000,0.391
252.573,30.000,0.394
253.090,30.000,0.418
253.625,30.000,0.392
254.143,30.000,0.379
254.675,30.000,0.394
255.193,30.000,0.415
255.723,30.000,0.395
256.243,30.000,0.394
256.758,30.000,0.390
257.280,30.000,0.397
257.818,30.000,0.412
258.356,30.000,0.543
258.873,30.000,0.729
259.420,30.000,0.556
259.920,30.000,0.548
260.439,30.000,0.548
260.971,30.000,0.547
261.491,30.000,0.576
262.011,30.000,0.548
262.529,30.000,0.550
263.048,30.000,0.532
263.565,30.000,0.549
264.082,30.000,0.507
264.606,30.000,0.511
265.150,30.000,0.493
265.651,30.000,0.471
266.168,30.000,0.497
266.686,30.000,0.476
267.199,30.000,0.473
267.732,30.000,0.496
268.264,30.000,0.487
268.779,30.000,0.471
269.300,30.000,0.473
269.818,30.000,0.496
270.343,30.000,0.476
270.855,30.000,0.468
271.390,30.000,0.474
271.920,30.000,0.482
272.454,30.000,0.497
272.979,30.000,0.476
273.500,30.000,0.460
274.016,30.000,0.479
274.535,30.000,0.503
275.070,30.000,0.483
275.598,30.000,0.481
276.110,30.000,0.508
276.626,30.000,0.482
277.145,30.000,0.489
277.662,30.000,0.479
278.204,30.000,0.502
278.728,30.000,0.474
279.247,30.000,0.474
279.780,30.000,0.481
280.310,30.000,0.482
280.818,30.000,0.524
281.350,30.000,0.497
281.867,30.000,0.500
282.403,30.000,0.496
282.933,30.000,0.512
283.453,30.000,0.499
283.985,30.000,0.497
284.516,30.000,0.522
285.033,30.000,0.501
285.554,30.000,0.501
286.085,30.000,0.494
286.606,30.000,0.511
287.126,30.000,0.499
287.655,30.000,0.503
288.188,30.000,0.501
288.708,30.000,0.503
289.223,30.000,0.527
289.750,30.000,0.500
290.264,30.000,0.503
290.783,30.000,0.497
291.299,30.000,0.697
291.836,30.000,0.694
292.353,30.000,0.698
292.873,30.000,0.699
293.406,30.000,0.699
293.924,30.000,0.722
294.461,30.000,0.703
294.970,30.000,0.694
295.492,30.000,0.715
296.026,30.000,0.678
296.558,30.000,0.675
297.077,30.000,0.650
297.600,30.000,0.669
298.130,30.000,0.618
298.647,30.000,0.585
299.175,30.000,0.589
299.699,30.000,0.589
300.232,30.000,0.603
300.762,30.000,0.589
301.280,30.000,0.589
301.810,30.000,0.587
302.343,30.000,0.610
302.880,30.000,0.589
303.404,30.000,0.579
303.925,30.000,0.615
304.440,30.000,0.590
304.974,30.000,0.590
305.490,30.000,0.590
306.006,30.000,0.612
306.527,30.000,0.589
307.044,30.000,0.590
307.565,30.000,0.599
308.079,30.000,0.608
308.608,30.000,0.782
309.123,30.000,0.820
309.640,30.000,0.804
310.172,30.000,0.827
310.705,30.000,0.839
311.221,30.000,0.807
311.752,30.000,0.805
312.273,30.000,0.818
312.793,30.000,0.809
313.323,30.000,0.830
