PADRESP17_250403190414.IDX;file31.idx;2025-04-03 19:04:14;3313
PADRESP13_250403190411.DAT;file32.dat;2025-04-03 19:04:11;251707
PADRESP14_250403190456.IDX;file33.idx;2025-04-03 19:04:56;65
PADRESP17_250403190414.DAT;file34.dat;2025-04-03 19:04:14;564582
PADRESP10_250418001807.IDX;file35.idx;2025-04-18 00:18:07;16
PADREMDA2_250407032815.DAT;file36.DAT;2025-04-07 03:28:15;5250024
PADRESP13_250403190411.IDX;file37.idx;2025-04-03 19:04:11;193
PADRESP14_250403190456.DAT;file38.dat;2025-04-03 19:04:56;94467
PADRESP15_250403190453.DAT;file39.dat;2025-04-03 19:04:53;246230
PADRESP16_250403190407.IDX;file40.idx;2025-04-03 19:04:07;1889
PADREMDA2_250407030021.IDX;file41.idx;2025-04-07 03:00:21;33
PADRESP15_250403190453.IDX;file42.idx;2025-04-03 19:04:53;177
PADREMDA0_250407032806.DAT_;file43.DAT_;2025-04-07 03:28:06;2789238
PADRESP13_250407033325.DAT_;file44.DAT_;2025-04-07 03:33:25;1171579
PADREMDA2_250407032815.IDX;file45.IDX;2025-04-07 03:28:15;3425
PADREMDA2_250407040207.IDX;file46.IDX;2025-04-07 04:02:07;3425
PADREMDA2_250407043930.IDX;file47.IDX;2025-04-07 04:39:30;3425
PADREMDA2_250407055040.DAT;file48.DAT;2025-04-07 05:50:40;5250024
PADREMDA2_250407062835.IDX;file49.IDX;2025-04-07 06:28:35;3425
PADRESP17_250407075337.IDX_;file50.IDX_;2025-04-07 07:53:37;141713
PADRESP10_250417231149.IDX;file51.idx;2025-04-17 23:11:49;16
PADRESP14_250407033327.IDX_;file52.idx_;2025-04-07 03:33:27;241
PADRESP14_250407075352.DAT_;file53.DAT_;2025-04-07 07:53:52;342238
PADRESP15_250407075432.DAT_;file54.DAT_;2025-04-07 07:54:32;4864975
PADRESP11_250407075433.DAT_;file55.DAT_;2025-04-07 07:54:33;3216532
PADRESP10_250417231149.DAT;file56.dat;2025-04-17 23:11:49;0
PADRESP10_250418001807.DAT;file57.dat;2025-04-18 00:18:07;0
